Name,Description,Icon_color,Long,Lat,State,URL,Thumb_URL
Woman Dancing,"This eight-foot-tall, 450-pound bronze statue of a woman posed in mid-twirl was done by Seattle artist Phillip Levine at a cost of $17,000. The piece, as well as most other artwork nearby, was purchased with a one-percent allocation from the total cost of construction for East Capitol Campus (constructed between 1961 and 1976).",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/dancing/dance02.jpg,http://www.ga.wa.gov/visitor/dancing/dance02.jpg
Du Pen fountain,"In December of 1955, Paul Thiry, a well-known architect, was hired by the State to design a new Washington State Library Building for the capitol campus. Thiry’s $8.5 million, T-shaped building underwent construction two years later. To embellish the north, front side of the library, it was decided that a fountain would be included. Everett Du Pen, a sculptor of French and English descent born and raised in California, was selected to design and execute the fountain.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/dupen/DuPen02.jpg,http://www.ga.wa.gov/visitor/dupen/DuPen02.jpg
Vietnam Veterans memorial,"This monument is actually the second remembrance of those killed in Vietnam to be erected on the Capitol campus. The first memorial honoring those Washingtonians killed in Vietnam was dedicated on November 11, 1982 by then-Governor John Spellman. The monument consisted of a scroll listing the names of the state’s Vietnam casualties encased in marble. Many surviving Vietnam Veterans were unhappy with this first memorial, and felt that the enclosed scroll ""entombed"" the memory of their fallen comrades.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/vietnam/vietnam02.jpg,http://www.ga.wa.gov/visitor/vietnam/vietnam02.jpg
Winged Victory monument,"The Winged Victory Monument, honoring those who served in World War I, was first conceived in 1919. It was then that Governor Ernest Lister proposed to the State Legislature that a memorial be constructed to honor the soldiers, sailors, and marines from the state who lost their lives in this war. The legislature, in response, passed a bill appropriating $50,000 toward the cause. It took a number of years for this money to be put to use however, and it was not until 1927 that sculptor Alonzo Victor Lewis’ initial plans for the monument were approved.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/victory/winged-Victory02.jpg,http://www.ga.wa.gov/visitor/victory/winged-Victory02.jpg
World War II memorial,"This memorial was one of the first in the country to honor those who served in World War II, with particular focus on the nearly 6,000 Washington residents who gave their lives in battle. The project originated in 1995 when Washington’s Legislature appropriated $50,000 toward the cause. Olympia resident Simon Kogan was selected from among 42 entrants to design the monument.",R,-122.9233445,47.03853463,WA,http://www.ga.wa.gov/visitor/ww2/WWII02.jpg,http://www.ga.wa.gov/visitor/ww2/WWII02.jpg
Neighborhood Seating Project,Tenth Avenue Square is suspended directly above the street. The amphitheater-like space lets visitors descend into the structure and gaze through plate glass windows at the the traffic below.,R,-122.9041449,47.03547728,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/hollow%20jpg.ashx?w=188&h=250&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/hollow%20jpg.ashx?w=188&h=250&as=1
Boiler Works,"The existence of this impressive steel and bronze piece was made possible through a one-percent arts allotment of the total cost of construction of the East Capitol Campus (built between 1961 and 1976). It was with this funding that, among other things, two ""interest node"" pieces were commissioned for a park just below and east of the Transportation Building. One of the pieces chosen by a selection committee (which included a sculptor, museum curator, and landscape architect) was artist Thomas Jay’s Boiler Works.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/boiler/boiler02.jpg,http://www.ga.wa.gov/visitor/boiler/boiler02.jpg
The Shaman,"When the WA State Highway Commission approved construction of the new State Highway Administration Building (later renamed the Transportation Building) on the East Capitol Campus in the early 1960’s, they were encouraged by the State Arts Commission to include funding for artwork to adorn the new structure. In response, an arts budget amounting to one percent of the total cost of construction was approved as part of the project.",R,-122.8658052,47.02897643,WA,http://www.ga.wa.gov/visitor/shaman/shaman02.jpg,http://www.ga.wa.gov/visitor/shaman/shaman02.jpg
Falco Mexicanus,"Falco Mexicanus    is a portrait of an imprinted trained prairie falcon.   It was the first bronze falcon sculpture that I made with such close live reference.   An imprinted falcon will often become very relaxed after eating.   With this bird, I was actually able to go back and forth between the bird and sculpture, feeling the similarities and differences in their form.",R,-122.8658052,47.02897643,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Falco-web%20jpg.ashx?w=143&h=300&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Falco-web%20jpg.ashx?w=143&h=300&as=1
Untitled,Birches grow where trains once lumbered. The tracks were removed during park construction; many sections were carefully reinstalled to maintain the historical character of the park.,R,-122.8885048,47.04603015,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Untitled-web%20jpg.ashx?w=350&h=230&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Untitled-web%20jpg.ashx?w=350&h=230&as=1
Long Instant,"Long Instant is a large, two-panel mural in the Olympia, Washington, Fire Department headquarters. The first panel shows a building at risk under a dark sky dramatically lit by a shattering bolt of lightning. In the second panel, the same building appears under a sky that now has become a detailed map of the fire hydrants in the city—a map every fireman in Olympia is required to memorize. Rather than offering a conventional image of a heroic rescue, the second panel is a meditation on the abstract concept of “preparedness.”",R,-122.871364,47.06640362,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Long-Instant1-web2%20jpg.ashx?w=167&h=300&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Long-Instant1-web2%20jpg.ashx?w=167&h=300&as=1
Neighborhood Seating Project,"Although the High Line runs a block or two east of the Hudson River shoreline, it offers frequent views of the river. Pier 54, where Cunard liners used to dock, is now part of Hudson River Park.",R,-122.8728939,47.04261413,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Heart-Rings-web%20jpg.ashx?w=250&h=192&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Heart-Rings-web%20jpg.ashx?w=250&h=192&as=1
Animal Journey,A chic new Standard Hotel looms above the southern end of the High Line. The building is among the most visible signs of the ongoing transformation of the Meatpacking District from industrial to upscale.,R,-122.9041449,47.03547728,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Animal-Journey-web%20jpg.ashx?w=200&h=299&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Animal-Journey-web%20jpg.ashx?w=200&h=299&as=1
Sea to Sky,"This piece located above the north parking entry to the Natural Resources Building was made possible through the Arts in Public Places Program. This program, also referred to as the Percent for the Arts Program, is based upon RCW 43.17.200, enacted in July, 1974, which mandates that ""out of any moneys appropriated for the original construction of any public building, an amount of one-half of one percent of the appropriation be expended by the Washington State Arts Commission for the acquisition of works of art.""",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/seatosky/sea02.jpg,http://www.ga.wa.gov/visitor/seatosky/sea02.jpg
Water Garden,"This interactive water feature originated when the State Capitol Committee hired California landscape architect Lawrence Halprin in 1967 to develop a landscape plan for the east capitol campus (built between 1961 and 1976). Due to the immense scale of the plaza, Halprin and his associates felt that a large-scale water fountain or pool (approximately 80 feet square) was needed to break up the expanse.",R,-122.9041449,47.03547728,WA,http://www.ga.wa.gov/visitor/water-garden/water02.jpg,http://www.ga.wa.gov/visitor/water-garden/water02.jpg
Untitled Stainless steel,"The history of this stainless steel, Stonehenge-like piece can be traced back ten years before its installation date. It was then, in 1963, that the Washington State Arts Commission asked the State Highway Commission to authorize one percent of the total construction costs of the new State Highway Administration Building (later renamed the Transportation Building) for works of art to be placed inside the building and around the exterior.",R,-122.9018583,47.0457503,WA,http://www.ga.wa.gov/visitor/stainless/Stainless02.jpg,http://www.ga.wa.gov/visitor/stainless/Stainless02.jpg
Fish Fantasy,The amateur photographer seen snapping a picture of his companion earlier in this story waves farewell at the southern terminus of the High Line.,R,-122.8951421,47.04527613,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Fish-Fantasy-web%20jpg.ashx?w=317&h=253&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Fish-Fantasy-web%20jpg.ashx?w=317&h=253&as=1
Untitled,,R,-122.9022631,47.04954683,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/xiaogang-zhu%20jpg.ashx?w=400&h=257&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/xiaogang-zhu%20jpg.ashx?w=400&h=257&as=1
Triumph of the Vegetables,,R,-122.9033844,47.04738467,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Triumph%20jpg.ashx?w=350&h=262&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Triumph%20jpg.ashx?w=350&h=262&as=1
Motherhood,,R,-122.9033844,47.04738467,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Motherhood-web%20jpg.ashx?w=200&h=329&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Motherhood-web%20jpg.ashx?w=200&h=329&as=1
South Sound Map,,R,-122.9033844,47.04738467,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/SSMap2%20gif.ashx,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/SSMap2%20gif.ashx
Kujira I,,R,-122.9033844,47.04738467,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Kujira_web%20jpg.ashx?w=333&h=250&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Kujira_web%20jpg.ashx?w=333&h=250&as=1
The Kiss,"One of Olympia's most beloved sculptures, The Kiss, was created by artist Richard Beyer, formerly of Pateros, WA, now living in New York.  Mr. Beyer has created some of the most recognizable sculptures in Washington state including People Waiting for the Interurban in Freemont.  During the design phase of this project, Mr. Beyer visited Olympia and personally selected the site on Percival Landing for the sculpture becuase of the romantic view of Budd Bay with the Olympic peaks in the distance.",R,-122.9033844,47.04738467,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/The-Kiss-web2%20jpg.ashx?w=232&h=319&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/The-Kiss-web2%20jpg.ashx?w=232&h=319&as=1
Tidepool of Time,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Tidepool-of-Time-2%20jpg.ashx?w=180&h=239&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Tidepool-of-Time-2%20jpg.ashx?w=180&h=239&as=1
Japanese Maple,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Japanese-Maple-Web2%20jpg.ashx?w=250&h=250&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Japanese-Maple-Web2%20jpg.ashx?w=250&h=250&as=1
Olympia Salmon Run,"Zurich and Chicago have had their cows, Seattle had pigs and Olympia has salmon! This public art project is currently on exhibition at The Olympia Center (222 Columbia ST NW), promoting dialogue about the importance of salmon to our community, while giving people ten more reasons to visit our vibrant downtown.",R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Salmon-7-105%20jpg.ashx?w=99&h=50&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Salmon-7-105%20jpg.ashx?w=99&h=50&as=1
Spectra Yellow Macchia with Turquoise Lip Wrap,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Chihuly%20jpg.ashx?w=250&h=374&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Chihuly%20jpg.ashx?w=250&h=374&as=1
Higher Place,"A native of South Dakota, Joe Batt received his BFA with a concentration in Ceramics from the University of South Dakota in Vermillion and an MFA in Ceramics from the University of Montana.   He has exhibited his artwork and taught extensively throughout the Midwest.",R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/JoeBatt_web.ashx?w=250&h=250&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/JoeBatt_web.ashx?w=250&h=250&as=1
Let's Go Places and See Things,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Lets-Go-Places-web%20jpg.ashx?w=250&h=307&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Lets-Go-Places-web%20jpg.ashx?w=250&h=307&as=1
The Skater,Penelope G. Merrell,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Skater-web%20jpg.ashx?w=250&h=305&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Skater-web%20jpg.ashx?w=250&h=305&as=1
Capital Lake Reflection I,Debra Van Tuinen,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Capitol-Lake-Refl-web%20jpg.ashx?w=250&h=250&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Capitol-Lake-Refl-web%20jpg.ashx?w=250&h=250&as=1
Dancer's Hands,Kathy Gore-Fuss is a painter and sometimes three-dimensional artist who has taught at The Evergreen State College and has been exhibiting her work in area galleries since moving here from Seattle in 1980. Christian is a counselor and a painter. She lives in Shelton but has been active in the Olympia arts scene for decades. Williams passed away in 2004.,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/GoreFusspa-big%20jpg.ashx?w=250&h=251&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/GoreFusspa-big%20jpg.ashx?w=250&h=251&as=1
Heart of Creation,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/The-Heart-of-Creationbig%20jpg.ashx?w=300&h=311&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/The-Heart-of-Creationbig%20jpg.ashx?w=300&h=311&as=1
Arts Walk 25,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Arts-Walk-25big%20jpg.ashx?w=300&h=300&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Arts-Walk-25big%20jpg.ashx?w=300&h=300&as=1
Wild Women and Three Cats,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Wild-Woman%20jpg.ashx?w=250&h=274&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Wild-Woman%20jpg.ashx?w=250&h=274&as=1
In a State of dragon your heel,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/In-a-State-of-dragon-web%20jpg.ashx?w=250&h=253&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/In-a-State-of-dragon-web%20jpg.ashx?w=250&h=253&as=1
Springtide Dancers,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Springtide-Dancers-pabig2%20jpg.ashx?w=250&h=254&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Springtide-Dancers-pabig2%20jpg.ashx?w=250&h=254&as=1
Two Cranes,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/utter2%20jpg.ashx?w=250&h=266&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/utter2%20jpg.ashx?w=250&h=266&as=1
Magic Trick,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/community/parks/public-art/~/media/Images/Parks/PublicArt/AW-Cover-Aurandbig%20gif.ashx?w=250&h=249&as=1,http://olympiawa.gov/community/parks/public-art/~/media/Images/Parks/PublicArt/AW-Cover-Aurandbig%20gif.ashx?w=250&h=249&as=1
A Crown for Amber,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Crown-for-Amber-web%20jpg.ashx?w=250&h=250&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Crown-for-Amber-web%20jpg.ashx?w=250&h=250&as=1
Butternut Squash Mambo,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/MimiWilliams%20jpg.ashx,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/MimiWilliams%20jpg.ashx
Spring Harvest,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Spring-Harvest-big%20jpg.ashx?w=250&h=253&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Spring-Harvest-big%20jpg.ashx?w=250&h=253&as=1
Oly Mola I - Falling Leaves,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Oly-Mola-I-web%20jpg.ashx?w=250&h=237&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Oly-Mola-I-web%20jpg.ashx?w=250&h=237&as=1
You Only Hit What You Aim For,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Juli-Adamspabig-web%20jpg.ashx?w=250&h=249&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Juli-Adamspabig-web%20jpg.ashx?w=250&h=249&as=1
Tree House,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/AmyFisher-pabig%20jpg.ashx,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/AmyFisher-pabig%20jpg.ashx
"At Evergreen with Owen, Jess & Leo",,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Laura-Sharp-Wilson%20jpg.ashx,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Laura-Sharp-Wilson%20jpg.ashx
You Are the Sunshine of My Lake,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Bevelacqua-Big%20gif.ashx,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Bevelacqua-Big%20gif.ashx
Strawberry Street,,R,-122.9030753,47.04618027,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Strawberry-Street-web%20jpg.ashx?w=250&h=250&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Strawberry-Street-web%20jpg.ashx?w=250&h=250&as=1
Uplifting Future,,R,-122.8980424,47.04170656,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Uplifitng_Cropped_web2.ashx?w=250&h=250&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Uplifitng_Cropped_web2.ashx?w=250&h=250&as=1
Otter Family,,R,-122.8980424,47.04170656,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Otter-Family%20jpg.ashx?w=250&h=244&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Otter-Family%20jpg.ashx?w=250&h=244&as=1
Wave Echo,,R,-122.9137729,47.04582428,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Wave-Echo-web%20jpg.ashx?w=287&h=226&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Wave-Echo-web%20jpg.ashx?w=287&h=226&as=1
Park of the Seven Oars,,R,-122.9333678,47.04731762,WA,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Oars1-big%20jpg.ashx?w=350&h=232&as=1,http://olympiawa.gov/en/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Oars1-big%20jpg.ashx?w=350&h=232&as=1
Crossroads,,R,330 Kenyon Street NW,Olympia,WA,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Corssroads2-web%20jpg.ashx?w=200&h=404&as=1,http://olympiawa.gov/city-services/parks/public-art/~/media/Images/Parks/PublicArt/Corssroads2-web%20jpg.ashx?w=200&h=404&as=1
