OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Long,Lat,Disp_Lon,Disp_Lat,Addr_type,House,PreDir,PreType,StreetName,SufType,SufDir,City,Province,Postal,ZIP,ZIP4,ZIP4_TYPE,User_fld,State,Ldu,xmin,xmax,ymin,ymax,ARC_Address,ARC_City,ARC_State,ARC_Zip,ARC_Zip4,ARC_Country,ID,Name,Artist,Type,Address,City_1,State_1,Website,Phone,Class,x,y
11,US_RoofTop,M,100,A,"107 Capitol Way N, Olympia, WA, 98501",L,-122.901761,47.045185,-122.902061,47.04514,Address,,,,,,,,,,,,,,,,0,0,0,0,107 Capitol Way North,Olympia,WA,,,,11,Browsers' Book Shop,"Washington Stars Quilt Guild, Quilts & Fabric Arts",w,107 Capitol Way North,Olympia,WA,http://www.biblio.com/bookstore/browsers-book-shop-olympia,(360) 357-7462,3,-122.9018843,47.04507145
12,US_RoofTop,M,100,A,"109 Capitol Way N, Olympia, WA, 98501",L,-122.90177,47.045264,-122.902121,47.04523,Address,,,,,,,,,,,,,,,,0,0,0,0,109 Capitol Way N,Olympia,WA,,,,12,Thomas Studio Art Gallery,"Becky Thomas, Watercolor; Alex Young, Watercolor",m,109 Capitol Way N,Olympia,WA,http://downtownolympia.com/locations/thomas-studio-art-gallery/,,2,-122.9018965,47.04513676
13,US_CityState,M,100,A,"Olympia, WA",,-122.891359,47.039226,0,0,City,,,,,,,,,,,,,,,,-122.964051,-122.823091,47.00352,47.07799,119 Capitol Way N,Olympia,WA,,,,13,Bandha Room Ashtanga Yoga Studio*,"Abrahadabra Institute, Metaphysical Multi Media",e,119 Capitol Way N,Olympia,WA,http://www.bandharoom.com/,(360) 628-1543,1,-122.90206,47.04544179
14,US_RoofTop,M,100,A,"119 Capitol Way N, Olympia, WA, 98501",L,-122.90181,47.045535,-122.902141,47.04541,Address,,,,,,,,,,,,,,,,0,0,0,0,119 Capitol Way N,Olympia,WA,,,,14,The Brotherhood Lounge,"Christopher Ross, Mixed Media",m,119 Capitol Way N,Olympia,WA,http://thebrotherhoodlounge.com/,(360) 352-4153,2,-122.9019784,47.04544994
15,US_Streets,M,81.94,M,"203 4th Ave E, Olympia, WA, 98501",R,-122.909279,47.013735,0,0,StreetAddress,,,,4th,Ave,E,Olympia,,,98501,,,,WA,,0,0,0,0,203 EAST FOURTH AVE,OLYMPIA,WA,,,,15,The Rachel Corrie Foundation,Artist TBA,e,203 East Fourth Ave,Olympia,WA,http://rachelcorriefoundation.org/,(360) 754-3998,1,-122.9002774,47.04480376
16,US_RoofTop,M,100,A,"108 State Ave NW, Olympia, WA, 98501",L,-122.902682,47.045717,-122.902471,47.04597,Address,,,,,,,,,,,,,,,,0,0,0,0,108 State Avenue Northwest,Olympia,WA,,,,16,Family Support Center of South Sound,"E.T. Repurposed Art & Photography; Family Support Shelter, Multi Media Youth Art; Amber Garibay, Photography",e,108 State Avenue Northwest,Olympia,WA,http://www.fscss.org/,(360) 628-7343,1,-122.9024492,47.04581898
17,US_RoofTop,M,100,A,"317 Capitol Way N, Olympia, WA, 98501",L,-122.90208,47.047183,-122.902401,47.04715,Address,,,,,,,,,,,,,,,,0,0,0,0,317 Capitol Way North,Olympia,WA,,,,17,Urban Upholstery,"Matt Guerin, Granite Mosaic; George Kurzman, Mixed Recycled; mollymortphotography, Photography; Angie Van Camp, Papier Mache",e,317 Capitol Way North,Olympia,WA,http://www.urbanupholstery.com/,(360) 352-1328,1,-122.9022533,47.04713457
18,US_RoofTop,M,100,A,"415 Capitol Way N, Olympia, WA, 98501",L,-122.902139,47.047635,-122.902751,47.04784,Address,,,,,,,,,,,,,,,,0,0,0,0,415 Capitol Way North,Olympia,WA,,,,18,Phoenix Inn Suites,"Bernie Mitchem, Acrylic",e,415 Capitol Way North,Olympia,WA,http://www.phoenixinn.com/olympia/,(360) 570-0555,1,-122.9025592,47.047829
19,US_RoofTop,M,100,A,"402 Washington St NE, Olympia, WA, 98501",R,-122.900822,47.047786,-122.900611,47.04781,Address,,,,,,,,,,,,,,,,0,0,0,0,402 Washington Street Northeast,Olympia,WA,,,,19,Furniture Works,"Daniel O'Neil, Pencil & Paintings; Margo Westfall & Don Lovett, Steel Sculpture; Randy & Sharon Yaple, Photography",e,402 Washington Street Northeast,Olympia,WA,http://olyfurnitureworks.com/,(360) 570-0165,1,-122.900614,47.04771266
20,US_RoofTop,M,100,A,"220 Thurston Ave NE, Olympia, WA, 98501",L,-122.899822,47.047627,-122.899981,47.04785,Address,,,,,,,,,,,,,,,,0,0,0,0,220 Thurston Avenue Northeast,Olympia,WA,,,,20,Thurston County Food Bank,"Olympia Art League, Multi Media",e,220 Thurston Avenue Northeast,Olympia,WA,http://www.thurstoncountyfoodbank.org/,(360) 352-8597,1,-122.8998282,47.04772133
21,US_RoofTop,M,100,A,"408 Olympia Ave NE, Olympia, WA, 98501",L,-122.897223,47.046956,-122.897691,47.04717,Address,,,,,,,,,,,,,,,,0,0,0,0,408 Olympia Avenue Northeast,Olympia,WA,,,,21,Alpine Experience,"Bill Bray, Photography",m,408 Olympia Avenue Northeast,Olympia,WA,http://www.alpinex.com/,(360) 956-1699,2,-122.8977492,47.04711902
22,US_RoofTop,M,100,A,"1718 State Ave NE, Olympia, WA, 98506",L,-122.878231,47.046947,-122.878231,47.04717,Address,,,,,,,,,,,,,,,,0,0,0,0,1718 State Avenue Northeast,Olympia,WA,,,,22,The Statement,"Teresa Seelig, Organic Oil",e,1718 State Avenue Northeast,Olympia,WA,http://www.thestatement.org/,(360) 705-9124,1,-122.8782299,47.04712196
23,US_Streets,M,100,A,"612 4th Ave E, Olympia, WA, 98501",L,-122.89534,47.045384,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,612 4th Avenue East,Olympia,WA,,,,23,Capital Playhouse,"Robin Lee, Ceramics & Mixed Media",e,612 4th Avenue East,Olympia,WA,http://www.capitalplayhouse.com/,(360) 943-2744,1,-122.8950287,47.0454885
24,US_Streets,M,100,A,"108 Cherry St NE, Olympia, WA, 98501",R,-122.895439,47.045411,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,108 Cherry Street Northeast,Olympia,WA,,,,24,Olympia Coffee Roasting,"Kristen Etmund, Woodblock Prints",m,108 Cherry Street Northeast,Olympia,WA,http://www.olympiacoffee.com/,(360) 753-0066,2,-122.8953665,47.04565179
25,US_RoofTop,M,100,A,"520 4th Ave E, Olympia, WA, 98501",L,-122.895802,47.045326,-122.895751,47.04558,Address,,,,,,,,,,,,,,,,0,0,0,0,520 4th Avenue East,Olympia,WA,,,,25,Ramblin Jack's,"Kortney Harbick, Acrylic",w,520 4th Avenue East,Olympia,WA,http://www.ramblinjacks.com/,(360) 754-8909,3,-122.8957123,47.04543825
26,US_RoofTop,M,100,A,"515 State Ave NE, Olympia, WA, 98501",R,-122.895729,47.046122,-122.895911,47.04593,Address,,,,,,,,,,,,,,,,0,0,0,0,515 State Avenue Northeast,Olympia,WA,,,,26,The Pilates Center of Olympia,"Tricia Hatfield Graves, Children's Book Author & Illustrator",e,515 State Avenue Northeast,Olympia,WA,http://www.pilatesatplay.com/,(360) 352-3444,1,-122.8961341,47.04603734
27,US_RoofTop,M,100,A,"222 State Ave NE, Olympia, WA, 98501",L,-122.900253,47.045877,-122.900301,47.04656,Address,,,,,,,,,,,,,,,,0,0,0,0,222 State Avenue Northeast,Olympia,WA,,,,27,Intercity Transit,"Michael T. Simmons Elementary, Youth Drawings & Paintings",e,222 State Avenue Northeast,Olympia,WA,http://www.intercitytransit.com/mapsandschedules/transitcenters/Pages/default.aspx,(360) 786-1881,1,-122.9000985,47.04626574
28,US_RoofTop,M,100,A,"112 State Ave NE, Olympia, WA, 98501",L,-122.901092,47.045817,-122.901131,47.04606,Address,,,,,,,,,,,,,,,,0,0,0,0,112 State Avenue Northeast,Olympia,WA,,,,28,Olympia Family Theater,"Tucker Petertil, Acrylic",e,112 State Avenue Northeast,Olympia,WA,http://www.olyft.org/,(360) 570-1638,1,-122.9010844,47.04597506
29,US_RoofTop,M,90.97,A,"314 Capitol Way N, Olympia, WA, 98501",R,-122.901982,47.047086,-122.901611,47.04712,Address,,,,,,,,,,,,,,,,0,0,0,0,314 Capitol Way NE,Olympia,WA,,,,29,DAO Studio (Developing Arts of Olympia)*,"Figure in a White Room, Group Show",e,314 Capitol Way NE,Olympia,WA,,,1,-122.9018202,47.04720059
30,US_RoofTop,M,100,A,"314 Capitol Way N, Olympia, WA, 98501",R,-122.901982,47.047086,-122.901611,47.04712,Address,,,,,,,,,,,,,,,,0,0,0,0,314 Capitol Way North,Olympia,WA,,,,30,Don's Camera,"Off the Beaten Path Photography: Laura J. Cameron, Suzanne Dahlman, Zane Grant, Maureen Hill, Shauna Kearns, Cornelia Kirkpatrick, Wesley Kirkpatrick, Jessica Morgan, Terri Perkins, Timothy J. Sagosz",m,314 Capitol Way North,Olympia,WA,http://www.donscamera.com/,(360) 943-1703,2,-122.901806,47.04709127
31,US_Streets,M,100,A,"122 Capitol Way N, Olympia, WA, 98501",R,-122.901632,47.045105,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,122 Capitol Way North,Olympia,WA,,,,31,Volcano Vapor Cafe,"Francisco Fonseca, Paintings; Isabella Fonseca, Acrylic Youth Art",e,122 Capitol Way North,Olympia,WA,http://olympiavolcano.com/,(360)539-7466,1,-122.9016337,47.04564371
32,US_RoofTop,M,100,A,"114 Capitol Way N, Olympia, WA, 98501",R,-122.901711,47.045374,-122.901451,47.0454,Address,,,,,,,,,,,,,,,,0,0,0,0,114 Capitol Way North,Olympia,WA,,,,32,Susan Christian Studio,"Team Awesome, Painted Objects",e,114 Capitol Way North,Olympia,WA,http://www.susanchristian.com/,(360) 426-9453,1,-122.9015793,47.04538991
33,US_Streets,M,100,A,"100 4th Ave E, Olympia, WA, 98501",L,-122.901658,47.044956,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,100 4th Avenue East,Olympia,WA,,,,33,"Sherburne Antiques & Fine Art, Inc.","Out of Focus, Mixed Media",e,100 4th Avenue East,Olympia,WA,,(360) 357-9177,1,-122.901532,47.04499825
34,US_Streets,M,100,A,"106 4th Ave E, Olympia, WA, 98501",L,-122.901585,47.044961,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,106 4th Avenue East,Olympia,WA,,,,34,Yolli Shoes,"SPSCC Students, Ceramics",w,106 4th Avenue East,Olympia,WA,,(360) 292-1230,3,-122.9014091,47.04500744
35,US_RoofTop,M,100,A,"108 4th Ave E, Olympia, WA, 98501",L,-122.901293,47.044957,-122.901281,47.04509,Address,,,,,,,,,,,,,,,,0,0,0,0,108 4th Avenue East,Olympia,WA,,,,35,Capital City Guitars, See Events,e,108 4th Avenue East,Olympia,WA,http://www.capitalcityguitars.com/,(360) 956-7097,1,-122.9012919,47.04501549
36,US_Streets,M,100,A,"111 Washington St NE, Olympia, WA, 98501",L,-122.900526,47.045088,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,111 Washington St NE,Olympia,WA,,,,36,1230 Room,See Events,e,111 Washington St NE,Olympia,WA,,,1,-122.9006613,47.04531434
37,US_RoofTop,M,100,A,"117 Washington St NE, Olympia, WA, 98501",L,-122.90055,47.045504,-122.900741,47.04548,Address,,,,,,,,,,,,,,,,0,0,0,0,117 Washington Street Northeast,Olympia,WA,,,,37,Mansion Glass / Tom Anderson Studio*,Glass & Mixed Media,m,117 Washington Street Northeast,Olympia,WA,http://www.mansionglass.com/,(360) 943-1174,2,-122.9006768,47.04544921
38,US_Streets,M,100,A,"119 Washington St NE, Olympia, WA, 98501",L,-122.900536,47.045152,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,119 Washington Street Northeast,Olympia,WA,,,,38,Mixx 96.1 KXXO,"Laura Nelson, Mixed Media & Painting; Mark Pennock, Mixed Media; Lauren Troyer, Pottery; Nancy Zhang, Youth Photography",e,119 Washington Street Northeast,Olympia,WA,http://www.mixx96.com/,(360) 943-9937,1,-122.9007099,47.04559734
39,US_RoofTop,M,100,A,"204 4th Ave E, Olympia, WA, 98501",L,-122.900202,47.045037,-122.900201,47.04527,Address,,,,,,,,,,,,,,,,0,0,0,0,204 4th Avenue East,Olympia,WA,,,,39,Harlequin Productions,HOW IT BEGINS: Design Concept Retrospective,e,204 4th Avenue East,Olympia,WA,http://www.harlequinproductions.org/,(360) 786-0151,1,-122.9001727,47.04511514
40,US_RoofTop,M,100,A,"108 Franklin St NE, Olympia, WA, 98501",R,-122.899221,47.045446,-122.899011,47.04546,Address,,,,,,,,,,,,,,,,0,0,0,0,108 Franklin Street Northeast,Olympia,WA,,,,40,Old School Pizzeria,See Events,e,108 Franklin Street Northeast,Olympia,WA,http://oldschoolpizzeria.net/,(360) 786-9640,1,-122.8991165,47.04544871
41,US_RoofTop,M,100,A,"312 4th Ave E, Olympia, WA, 98501",L,-122.898502,47.045157,-122.898531,47.04538,Address,,,,,,,,,,,,,,,,0,0,0,0,312 4th Avenue East,Olympia,WA,,,,41,Dispute Resolution Center,"James Malcolm, Photography",e,312 4th Avenue East,Olympia,WA,http://www.mediatethurston.org/,(360) 956-1155,1,-122.8985404,47.04524221
42,US_RoofTop,M,90.97,A,"201 4th Ave W, Olympia, WA, 98501",R,-122.903178,47.044743,-122.903161,47.04464,Address,,,,,,,,,,,,,,,,0,0,0,0,201 4th Avenue East,Olympia,WA,,,,42,Euphorium,"Anderson Woodworks, Woodworking; Rachel Moani, Acrylic; Mishka Navarre, Costumes & Paintings; hWes Photography, Photography & Men's Jewelry; SPSCC, Metal Art",e,201 4th Avenue East,Olympia,WA,,(360) 943-4444,1,-122.9002965,47.04489155
43,US_Streets,M,100,A,"205 4th Ave E, Olympia, WA, 98501",R,-122.900337,47.044939,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,205 4th Ave E,Olympia,WA,,,,43,Sit & Sip,"Erin Bohlman, Watercolor; PeggySue King, Textiles",e,205 4th Ave E,Olympia,WA,,(360) 402-9957,1,-122.9002212,47.04489438
44,US_Streets,M,90.97,M,"307 4th Ave E, Olympia, WA, 98501",R,-122.90468,47.044602,0,0,StreetAddress,,,,4th,Ave,E,Olympia,,,98501,,,,WA,,0,0,0,0,307 4TH AVE EAST,OLYMPIA,WA,,,,44,"Ink Life Tattoos, Piercing & Art Gallery","Angela Conley, Acrylic; Anderson Loes, Photography; Diana Oliphant, Spray Paint, Ink & Graphite",m,307 4th Ave East,Olympia,WA,http://www.thumbtack.com/wa/olympia/piercing/custom-tattoos-body-piercing,,2,-122.8988644,47.04497638
45,US_Streets,M,100,A,"321 4th Ave E, Olympia, WA, 98501",R,-122.898913,47.045042,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,321 4th Avenue East,Olympia,WA,,,,45,Olympia Olive Oil,"Julie Rajcich, Photography",e,321 4th Avenue East,Olympia,WA,http://www.olyoliveoil.com/,(360) 878-9571,1,-122.8990322,47.0449647
46,US_Streets,M,100,A,"509 4th Ave E, Olympia, WA, 98501",R,-122.896611,47.04519,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,509 4th Avenue East,Olympia,WA,,,,46,Orca Books,"Lisa Taylor, Watercolor",w,509 4th Avenue East,Olympia,WA,http://orcabooks.com/,(360) 352-0123,3,-122.8962391,47.04510217
47,US_RoofTop,M,100,A,"412 Jefferson St SE, Olympia, WA, 98501",R,-122.896632,47.044766,-122.896231,47.04491,Address,,,,,,,,,,,,,,,,0,0,0,0,412 Jefferson Street Southeast,Olympia,WA,,,,47,Johansen Olympia Dance Center,See Fri. Events,e,412 Jefferson Street Southeast,Olympia,WA,http://olympiadancecenter.com/,(360) 943-8011,1,-122.896497,47.04475748
48,US_Streets,M,100,A,"805 4th Ave E, Olympia, WA, 98506",R,-122.892751,47.045449,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,805 4th Avenue East,Olympia,WA,,,,48,Olympia Eagles Aerie #21*,"Carol Bauer, Designer Soap; Carol Floyd & Chris Krueger, Quilts & Clothing; Catalyst Studios, Acrylic & Resin Assemblage; Angela Conley, Arts & Crafts; Ivy Corley, Bags, Magnets & Silkscreened Shirts; Jennifer Fortin, Handmade Bracelets; Chris Kahana, Han",e,805 4th Avenue East,Olympia,WA,http://www.foe.com/SiteDefault.aspx?SiteContentId=10125&SiteId=694&TabIndex=0&NavId=12794,,1,-122.8925999,47.04531508
49,US_Streets,M,100,A,"619 Legion Way SE, Olympia, WA, 98501",R,-122.895004,47.04358,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,619 Legion Way Southeast,Olympia,WA,,,,49,South Bay BBQ,See Sat. Events,e,619 Legion Way Southeast,Olympia,WA,http://www.southbaybbq.com/,(360) 943-6900,1,-122.8944685,47.04348089
50,US_Streets,M,100,A,"515 Jefferson St SE, Olympia, WA, 98501",L,-122.896666,47.044262,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,515 Jefferson Street Southeast,Olympia,WA,,,,50,Fish Tale Brew Pub,"Kortney Harbick, Oil & Acrylic; Susan McClintock, Acrylic; Sephanie Scott, Acrylic",w,515 Jefferson Street Southeast,Olympia,WA,http://www.fishbrewing.com/brewpub/,(360) 943-3650,3,-122.8967061,47.04389989
51,US_Streets,M,90.97,A,"414 Legion Way SE, Olympia, WA, 98501",L,-122.897517,47.043544,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,414 1/2 Legion Way,Olympia,WA,,,,51,Northern,"Group Show, Mixed Media",m,414 1/2 Legion Way,Olympia,WA,http://www.olympiaallages.org/,,2,-122.8970678,47.04388173
52,US_RoofTop,M,100,A,"314 Legion Way SE, Olympia, WA, 98501",L,-122.898192,47.043477,-122.898211,47.04363,Address,,,,,,,,,,,,,,,,0,0,0,0,314 Legion Way Southeast,Olympia,WA,,,,52,Safeplace,"Aurea Miros, Poetry & Documentary",e,314 Legion Way Southeast,Olympia,WA,http://www.safeplaceolympia.org/,(360) 786-8754,1,-122.8982418,47.0435719
53,US_RoofTop,M,100,A,"620 Franklin St SE, Olympia, WA, 98501",R,-122.898802,47.042776,-122.898491,47.04281,Address,,,,,,,,,,,,,,,,0,0,0,0,620 Franklin Street Southeast,Olympia,WA,,,,53,Reality Church,"Reality Co-op of Artists, Multi Media",w,620 Franklin Street Southeast,Olympia,WA,http://realityolympia.com/,(360) 584-8028,3,-122.8985481,47.04275419
54,US_RoofTop,M,100,A,"522 Franklin St SE, Olympia, WA, 98501",R,-122.898931,47.043546,-122.898601,47.04358,Address,,,,,,,,,,,,,,,,0,0,0,0,522 Franklin Street Southeast,Olympia,WA,,,,54,Capital Clubhouse Recovery Center,"Capital Clubhouse Members, Multi Media",e,522 Franklin Street Southeast,Olympia,WA,https://sites.google.com/a/capitalclubhouse.org/web/,�(360) 357-2582,1,-122.8988553,47.04382524
55,US_RoofTop,M,100,A,"220 Legion Way SE, Olympia, WA, 98501",L,-122.899312,47.043397,-122.899341,47.04362,Address,,,,,,,,,,,,,,,,0,0,0,0,220 Legion Way Southeast,Olympia,WA,,,,55,Seldens Home Furnishings,"Alan R. Adams, Mixed Media Sculpture; David L. Edwards, Wood & Stone Sculpture; Reeves Middle School, Alki Program Youth Art",e,220 Legion Way Southeast,Olympia,WA,http://www.seldensofolympia.com/,(360) 357-5531,1,-122.8993257,47.04345801
56,US_Streets,M,100,A,"420 Franklin St SE, Olympia, WA, 98501",R,-122.89909,47.044884,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,420B Franklin Street Southeast,Olympia,WA,,,,56,Art House Designs,"Esperanza Grundy, Oil; Bonnie Jones, Photography; Perry Kopchak, Acrylic; Paul Mongillo, Photography; Joe Seymour, Photography",m,420B Franklin Street Southeast,Olympia,WA,,(360) 943-3377,2,-122.8987805,47.04498593
57,US_RoofTop,M,100,A,"414 Franklin St SE, Olympia, WA, 98501",R,-122.899091,47.044585,-122.898761,47.04462,Address,,,,,,,,,,,,,,,,0,0,0,0,414 Franklin Street Southeast,Olympia,WA,,,,57,Tapestry - A Christian Connection*,"Covenant Creatures, Mixed Media; Joanne Gallaher & Tim Duchene, Beaded Glass Jewelry",e,414 Franklin Street Southeast,Olympia,WA,http://www.tapestryacc.com/,(360) 754-2674,1,-122.8989857,47.04460905
58,US_Streets,M,100,A,"202 5th Ave SE, Olympia, WA, 98501",L,-122.900248,47.044208,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,202 5th Ave Southeast,Olympia,WA,,,,58,Terra Firma Cosmetics*,"Karissa Carlson, Photography",e,202 5th Ave Southeast,Olympia,WA,http://www.terrafirmacosmetics.com/,(360) 489-1498,1,-122.8995463,47.04432753
59,US_Streets,M,100,A,"430 Washington St SE, Olympia, WA, 98501",R,-122.900308,47.044727,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,430 Washington Street Southeast,Olympia,WA,,,,59,Red Door Interiors,"Erica Maule, Paper Collage; Eastside Cooperative Preschool, Mixed Media Youth Art",e,430 Washington Street Southeast,Olympia,WA,http://www.reddoorinteriorsinc.com/,(360) 357-7799,1,-122.9002407,47.04461688
60,US_Streets,M,100,A,"418 Washington St SE, Olympia, WA, 98501",R,-122.900321,47.044811,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,418 1/2 Washington St SE,Olympia,WA,,,,60,Doria's Ltd,"Margaret Sherwood, Photography",e,418 1/2 Washington St SE,Olympia,WA,http://doriasofolympia.com/dorias/,(360) 753-1088,1,-122.9002592,47.04470757
61,US_Streets,M,100,A,"416 Washington St SE, Olympia, WA, 98501",R,-122.900324,47.044826,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,416 1/2 Washington St SE,Olympia,WA,,,,61,Alchemy Salon & Spa,"Brent Knott, Woodworking",e,416 1/2 Washington St SE,Olympia,WA,http://www.alchemy-salonspa.com/,(360) 943-5810,1,-122.9002498,47.04465887
62,US_Streets,M,100,A,"412 Washington St SE, Olympia, WA, 98501",R,-122.900331,47.044872,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,412 Washington Street Southeast,Olympia,WA,,,,62,The Painted Plate,"Trixy Eichler, Print & Textile; Ava Waits, Ceramics",w,412 Washington Street Southeast,Olympia,WA,http://www.paintedplateolympia.com/,(360) 705-2103,3,-122.9002835,47.04484627
63,US_Streets,M,100,A,"410 Washington St SE, Olympia, WA, 98501",R,-122.900333,47.044888,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,410 Washington Street SE,Olympia,WA,,,,63,Luxe for Style,"Brian Kasnyik, Photography",w,410 Washington Street SE,Olympia,WA,http://luxeforstyle.com/,360-754-1600,3,-122.9002678,47.04475722
